,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,6.1663766,1.7868308,8.785171,4.438588,4.3578963,3.9993906,3.8181148,2.958035,5.396598,4.0666733,6.9752784,5.991327,6.2566648,7.5784345,6.7441993,4.024221,6.1551976,2.7635262,6.3403635,5.5247893,7.774694,6.302601,4.372266,7.277511,6.14852,4.1338143,4.5620437,5.6187596,6.802844,3.2570446,2.560855,3.5687814,6.021393,4.4650154,4.16627,3.8646717,3.8975873,5.0093904,5.213846,2.9392893
11,6.2606344,1.9549973,9.134445,4.2607317,4.3479466,3.860587,3.443244,3.6601882,5.4619956,3.644299,7.194895,6.3215766,6.4376426,6.9513993,6.761531,3.9784245,6.429054,2.471911,6.11974,5.5843005,7.6514564,6.378473,4.179835,7.570232,6.4563837,3.6970031,4.2567363,5.7517266,7.162981,3.1814566,2.6444561,3.4229207,5.97368,4.5103188,3.9203432,4.00078,4.019417,5.1558433,5.460174,2.6483712
12,6.380776,1.9609941,9.2504,3.9871638,4.290807,4.0322356,3.609443,3.6650946,5.428725,3.744703,7.1861444,6.295533,6.0861683,7.2457137,7.0495305,3.9163184,6.604128,2.1344647,5.909765,6.031523,7.395162,6.601982,3.9860604,7.423643,6.4260073,3.6368742,4.1483574,5.769162,7.0126595,3.2240152,2.392207,3.2919624,6.0095186,4.5136123,4.132882,3.9712107,4.123284,5.3964,5.361652,2.5656662
13,6.0293274,1.6426154,9.131189,4.5989866,4.201171,3.753383,3.3398216,3.2510567,5.4385595,4.1149826,6.947549,6.135716,5.944478,6.9890885,7.047783,3.8362737,6.274369,2.6037621,6.360311,5.891581,7.66089,6.3615656,4.2993426,7.2532134,6.138595,4.0761905,4.5059886,5.4715786,6.7734632,3.2460403,2.465374,3.5819218,6.0383654,4.431693,4.2636113,4.032805,4.0169306,4.841358,5.454863,2.949922
14,6.1794033,1.5520406,8.686363,4.4805007,4.4168787,3.9596167,3.9124305,3.0033808,5.3591723,4.0870667,6.9670844,5.949771,6.236081,7.6478853,6.5949388,4.091259,6.12727,2.781182,6.313354,5.462135,7.776306,6.319902,4.292572,7.4189787,6.183321,4.0959797,4.2839336,5.532491,6.751405,3.2896898,2.303309,3.3547618,5.8898463,4.6501436,4.111413,3.635066,4.0254693,5.208116,5.37223,2.5736434
15,6.070498,1.60901,8.76863,4.572231,4.2613935,3.832358,3.9557772,3.369621,5.7360673,3.693731,7.060135,6.153819,6.1512094,7.2532487,6.6346927,4.114305,5.958846,3.1188476,6.362412,5.431541,7.4405093,6.166914,4.223566,7.457894,6.2414355,3.7773523,4.348739,5.365343,6.786054,3.3812764,2.6872153,3.6386623,5.6853886,4.3050523,4.174584,3.986495,3.7337153,5.0571675,4.789173,3.2026784
16,5.819074,1.596399,9.186784,4.6901026,4.3005424,3.9247973,3.776778,3.556377,5.56583,3.8605182,7.030601,6.097366,5.8202558,7.4831276,6.7046633,4.1616573,6.1553826,2.6544752,6.276467,5.5486503,7.6231627,6.2463813,4.277341,7.3530283,6.3189697,4.0848455,4.1458707,5.35655,6.6522007,3.4198368,2.382057,3.4276652,5.5636806,4.5013084,4.123744,3.7339087,3.8933725,5.145562,5.0475125,2.8689435
17,6.6174073,1.3778589,8.748099,4.20758,4.2969484,3.8657055,3.990694,3.3684168,5.3266225,3.6654983,6.9990287,5.9544053,6.1807513,7.52946,6.729605,4.03674,6.1404166,2.9780226,6.4038243,5.936977,7.6467543,6.254934,4.140871,7.3631907,6.194815,3.9189825,4.382461,5.279163,6.6166496,3.3137074,2.4324992,3.5692813,5.8590117,4.5537057,3.9318569,4.0667257,4.0438366,5.066997,5.35637,2.8528314
18,6.3285127,2.0817416,8.99553,4.019699,4.3813596,4.1621842,4.0751357,3.5604339,5.5503607,3.6040337,7.149455,6.1477723,6.421062,7.699832,6.6725297,4.1537466,6.3472056,2.4885216,6.0253606,5.6241913,7.6506524,6.3390956,4.234078,7.329931,6.4414244,3.9386559,4.305127,5.7735496,6.9122944,3.309307,2.6594272,3.4643497,5.829533,4.472285,3.9218621,3.9746785,3.873796,5.325413,5.007476,2.8431067
19,6.3096395,1.9354929,8.902217,4.1262274,4.3446546,4.020266,4.1084585,3.69508,5.703965,3.429119,7.194203,6.221439,6.440571,7.4958844,6.5488605,4.21103,6.22148,2.7438421,6.0791717,5.5031505,7.5109954,6.2390385,4.1683335,7.4877963,6.490816,3.7428553,4.205118,5.620596,6.911163,3.350064,2.721318,3.4915624,5.6562304,4.405053,3.9049509,4.0034876,3.8035898,5.344029,4.858018,2.9188018
