,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,4.267656,5.643768,6.08004,3.1330423,5.290366,3.967389,6.123229,4.757322,3.8392754,3.9061177,6.012927,3.0297515,3.8316464,7.667089,5.1145573,4.8287487,5.8957696,4.5019746,2.9217513,3.4836612,5.80152,7.40628,3.1571136,7.945771,5.8183994,4.8485355,5.8688774,5.2187767,5.320773,6.1012654
11,3.9402578,5.7484155,5.9085884,2.718389,5.5855083,4.038507,6.0306816,4.728636,3.4559603,3.6829362,6.254305,3.0284712,3.3321,7.1726904,5.5154004,5.076812,6.1566763,4.6144013,3.1587386,3.9197416,5.169264,6.747295,3.0072408,7.651691,6.010757,5.187867,5.181371,4.976183,5.0565743,6.2946506
12,3.971259,6.5178356,5.816133,2.885087,5.587799,4.036057,6.0344553,4.3755174,3.298597,3.8102303,6.1046185,2.7443893,3.6803846,7.3697925,5.172809,5.0952196,6.235715,4.4066563,3.2844682,3.7003112,5.262297,6.7557287,3.0356004,7.5978136,6.0361767,5.224495,4.9439025,4.9954596,4.724667,6.0372424
13,4.244725,5.8497334,6.1017966,3.1394043,5.5255833,3.7990003,5.9532857,5.024884,3.5770235,3.6780565,6.0712295,3.4581685,3.533221,7.497858,5.196389,5.084971,6.163587,4.6302934,2.759294,3.431018,5.5099573,6.883543,2.9672594,8.006582,5.7403975,5.135376,5.5996222,5.248681,5.5273795,6.3154087
14,4.422974,5.781572,6.0034738,2.9426053,5.3445945,4.0839467,6.2791476,4.6357646,3.960662,4.0101666,5.930843,2.665026,3.9059942,7.6202073,5.0106816,4.6887016,5.8672495,4.5642204,3.1206534,3.767686,5.947324,7.3731813,3.1335247,7.8101807,5.899733,4.9732795,5.917234,5.289831,5.0773716,5.9964647
15,4.88995,5.677922,6.215457,2.8767607,5.7657833,3.48356,6.1961603,5.00745,3.8522265,4.074466,5.696442,3.1778054,4.010168,7.438516,5.0705786,4.928761,6.217713,4.4045267,2.9065428,3.7787268,5.3543086,7.1371074,3.3467948,7.812957,5.634629,4.51286,5.843789,5.288737,5.131207,5.959135
16,4.669285,5.9908667,6.3835516,2.6529806,5.7585573,3.7555583,6.144217,4.957946,3.6485565,3.9160757,5.937146,3.066879,4.0072155,7.422266,4.9664373,4.763011,6.033911,4.617715,2.8489797,3.4331791,5.8157406,7.0563784,3.15007,7.751287,5.8333254,4.854129,5.30743,5.3022494,5.1462626,6.254055
17,4.0703363,5.735041,5.774144,2.5147026,5.654783,3.7058778,6.0037975,4.75705,3.8463473,3.9516952,5.9002266,3.016434,3.9790192,7.6535783,4.9396195,5.0847273,5.9677167,4.438513,3.1063228,3.710949,5.6190705,7.0870667,3.048036,7.933001,5.681619,5.1457624,6.066402,5.362001,5.208134,5.8296995
18,4.0493875,5.6866193,5.9936485,2.7606912,5.486867,3.8109515,6.0763173,4.5120096,3.6723638,3.8667061,6.139061,2.9008036,3.8661582,7.509668,5.3282676,5.0047913,5.937754,4.2541075,3.2722466,3.7073953,5.2798605,7.331451,3.2982614,7.6218166,5.903533,4.702077,5.384308,4.8378644,4.6801844,5.9357543
19,4.365732,5.4495196,6.0315714,2.5965245,5.666144,3.6280456,6.1965747,4.7599397,3.8891144,4.0182533,5.927334,2.9190714,3.923205,7.373696,5.3357363,4.9612393,6.047785,4.304377,3.2584927,4.022497,5.1514196,7.248117,3.3800278,7.5694337,5.8622427,4.5638237,5.5494547,4.940127,4.714886,5.9278307
20,4.521956,6.001249,6.2170525,2.5619278,6.080647,3.3184776,5.9301724,5.015353,3.4113367,3.8113537,5.875077,3.367396,3.9869964,7.39173,4.94958,5.2535005,6.3231506,4.388907,3.012097,3.6312382,5.130187,6.6521206,3.200949,7.684959,5.5887938,4.7389436,5.144329,5.148497,5.036204,6.112264
