,dims,mae,spearmanr,pearsonr,kendalltau,iteration
log,4,0.25942474649966174,0.22395184215595737,0.09287554758036692,0.1710372220988273,10
original,100,0.2978427940902323,,,,11
half,48,0.2978427940902323,,,,11
sqrt,10,0.29667625912819057,0.32926333685658843,0.20384505149010432,0.25974025974025977,11
ten_percent,10,0.29667625912819057,0.32926333685658843,0.20384505149010432,0.25974025974025977,11
log,4,0.2787929041157104,0.16393974617124543,0.20527667671845795,0.11778841298781689,11
original,100,0.3229135534992084,,,,12
half,48,0.3229135534992084,,,,12
sqrt,10,0.32288507162337615,0.17323973216880925,0.1668028430548324,0.14285714285714285,12
ten_percent,10,0.32288507162337615,0.17323973216880925,0.1668028430548324,0.14285714285714285,12
log,4,0.3086040871944664,0.013523952233229676,-0.07045776707057468,-0.004297548839972763,12
original,100,0.286987688345516,,,,13
half,48,0.286987688345516,,,,13
sqrt,10,0.2835502209813551,0.2835574584420779,0.22357600419035273,0.20886846526023436,13
ten_percent,10,0.2835502209813551,0.2835574584420779,0.22357600419035273,0.20886846526023436,13
log,4,0.23667187246948307,0.12795126276569324,0.13718443479357736,0.07740099894885441,13
original,100,0.2702644494363262,,,,14
half,48,0.2700813935667002,0.18313914543559837,0.19351349648707755,0.1510204081632653,14
sqrt,10,0.2698915237314136,0.2433647205000904,0.1498439517548207,0.1859840666999825,14
ten_percent,10,0.2698915237314136,0.2433647205000904,0.1498439517548207,0.1859840666999825,14
log,4,0.22093078602071067,-0.09652139230285951,-0.08074527696475983,-0.0652397024689576,14
original,100,0.2978562005299146,,,,15
half,48,0.2978562005299146,,,,15
sqrt,10,0.2971948088146876,0.2330711818936724,0.1810088261810526,0.1856961710764541,15
ten_percent,10,0.2971948088146876,0.2330711818936724,0.1810088261810526,0.1856961710764541,15
log,4,0.2634848973267287,0.07477460614528446,0.0704937754916217,0.0632127296288689,15
original,100,0.2861871772960783,,,,16
half,48,0.2861871772960783,,,,16
sqrt,10,0.28483489918458554,0.3897921353102776,0.2584319876505352,0.2960684541064695,16
ten_percent,10,0.28483489918458554,0.3897921353102776,0.2584319876505352,0.2960684541064695,16
log,4,0.2612379282266325,0.19875294424836845,0.22114642115721303,0.15025731088775235,16
original,100,0.3463142839107682,,,,17
half,48,0.3463142839107682,,,,17
sqrt,10,0.344365488279558,0.09817955556369716,0.23276091677421765,0.06888123217987249,17
ten_percent,10,0.344365488279558,0.09817955556369716,0.23276091677421765,0.06888123217987249,17
log,4,0.2241339871165309,0.05337497613321054,0.10640342185455033,0.04836106188915082,17
original,100,0.29722949984284514,,,,18
half,48,0.29722949984284514,,,,18
sqrt,10,0.2952615686530841,0.2463754180732874,0.1663879148912351,0.19450242089998168,18
